,id,group,score,outcome
0,3,blacks,3,True
1,4,blacks,4,True
2,5,blacks,8,False
3,8,whites,6,True
4,10,whites,1,False
5,13,whites,3,True
6,14,whites,4,False
7,15,blacks,6,True
8,16,whites,1,False
9,18,blacks,4,False
10,19,whites,1,True
11,20,blacks,3,True
12,22,blacks,10,False
13,23,whites,5,True
14,24,whites,3,True
15,25,blacks,6,True
16,26,blacks,9,True
17,27,whites,2,True
18,28,whites,4,False
19,32,whites,1,False
20,37,blacks,3,True
21,38,whites,3,False
22,39,blacks,7,True
23,40,blacks,10,True
24,41,whites,9,True
25,42,blacks,8,True
26,45,whites,1,False
27,51,whites,8,False
28,52,whites,5,True
29,53,whites,2,True
30,54,blacks,9,True
31,55,whites,2,False
32,56,blacks,8,False
33,57,blacks,1,False
34,59,whites,2,True
35,61,blacks,2,False
36,64,blacks,7,True
37,66,whites,10,True
38,67,blacks,8,True
39,68,whites,1,False
40,69,blacks,3,True
41,70,blacks,4,False
42,71,whites,2,True
43,75,whites,6,True
44,79,blacks,5,False
45,80,blacks,4,True
46,84,blacks,1,False
47,85,whites,5,False
48,87,blacks,3,False
49,88,blacks,7,True
50,90,blacks,10,True
51,91,whites,2,True
52,93,blacks,4,True
53,95,blacks,10,True
54,96,blacks,9,True
55,98,blacks,6,True
56,100,blacks,1,False
57,105,blacks,4,False
58,107,blacks,6,True
59,108,whites,6,True
60,111,blacks,2,False
61,113,blacks,3,True
62,114,whites,8,False
63,115,blacks,4,True
64,116,whites,7,True
65,119,blacks,2,False
66,120,blacks,2,False
67,122,blacks,10,True
68,128,blacks,10,True
69,131,blacks,9,True
70,132,blacks,7,True
71,136,blacks,2,False
72,137,blacks,7,True
73,138,whites,8,True
74,142,whites,8,True
75,143,blacks,7,False
76,145,whites,7,False
77,146,whites,1,True
78,147,whites,1,False
79,148,whites,1,False
80,151,blacks,4,True
81,152,blacks,2,False
82,153,blacks,2,False
83,154,whites,1,True
84,156,whites,6,True
85,157,whites,4,False
86,158,whites,5,False
87,159,whites,4,False
88,160,blacks,9,True
89,163,whites,1,False
90,166,blacks,9,True
91,169,whites,4,True
92,171,whites,5,False
93,173,blacks,5,True
94,174,blacks,2,False
95,175,whites,2,True
96,176,blacks,9,True
97,177,blacks,4,True
98,178,blacks,8,True
99,180,blacks,7,False
100,183,whites,10,True
101,184,blacks,9,True
102,187,blacks,9,False
103,189,whites,9,False
104,190,blacks,10,True
105,192,whites,1,False
106,193,whites,6,True
107,194,whites,3,False
108,195,whites,4,False
109,197,whites,2,False
110,199,whites,1,False
111,202,whites,2,True
112,203,blacks,2,False
113,206,whites,4,True
114,208,whites,2,True
115,210,blacks,7,True
116,213,whites,3,True
117,215,blacks,2,False
118,216,whites,2,True
119,218,whites,4,False
120,220,blacks,10,False
121,222,whites,1,False
122,223,blacks,8,True
123,224,blacks,6,True
124,225,blacks,5,True
125,227,blacks,3,True
126,228,blacks,9,True
127,229,blacks,9,True
128,231,blacks,6,False
129,232,whites,6,False
130,234,blacks,1,True
131,238,blacks,10,True
132,241,blacks,4,True
133,242,blacks,1,False
134,243,whites,4,False
135,244,whites,7,True
136,245,blacks,7,False
137,246,whites,2,False
138,248,blacks,2,False
139,249,whites,1,True
140,251,whites,6,False
141,252,whites,5,False
142,254,blacks,2,True
143,258,blacks,7,False
144,260,blacks,4,False
145,262,whites,10,False
146,263,whites,1,False
147,265,blacks,6,True
148,268,whites,1,True
149,269,whites,1,False
150,272,blacks,8,True
151,275,blacks,5,True
152,277,blacks,8,True
153,278,blacks,2,True
154,280,whites,5,True
155,281,blacks,1,False
156,282,whites,4,True
157,286,blacks,10,True
158,287,blacks,9,True
159,288,whites,4,True
160,289,blacks,9,True
161,291,whites,3,False
162,293,blacks,3,True
163,294,blacks,2,False
164,297,blacks,4,False
165,299,whites,1,False
166,300,whites,3,False
167,301,whites,4,False
168,302,blacks,9,True
169,306,blacks,10,True
170,308,blacks,2,False
171,310,blacks,8,False
172,311,whites,5,True
173,313,whites,9,True
174,315,blacks,1,False
175,316,whites,4,False
176,317,blacks,9,False
177,319,whites,1,True
178,320,blacks,9,False
179,321,blacks,5,False
180,322,blacks,6,False
181,325,whites,1,False
182,326,whites,1,True
183,327,whites,2,False
184,330,blacks,1,False
185,331,whites,3,True
186,332,blacks,7,False
187,333,blacks,6,False
188,334,blacks,10,True
189,335,blacks,1,False
